event_id,event_date,latitude,longitude,admin_division_name,rainfall24h,gpm_lat,gpm_lon,target,sample_type,elevation,slope,srtm_tile
NEG_20110719_0143,2011-07-19,23.85000000000001,91.4499969482422,NER_BACKGROUND,19.170000076293945,23.85000000000001,91.4499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,42.0,5.134986131220104,N23E091
4403,2012-06-10 00:00:00,24.8142,93.5444,Manipur,20.634998321533203,24.85000000000001,93.5500030517578,1,RECORDED_LANDSLIDE,524.0,34.77802218832971,N24E093
1775,2010-04-21 00:00:00,27.8965,96.1779,Arunāchal Pradesh,77.68499755859375,27.85000000000001,96.1500015258789,1,RECORDED_LANDSLIDE,208.0,9.350473782917254,N27E096
NEG_20150802_0291,2015-08-02,21.450000000000006,90.3499984741211,NER_BACKGROUND,13.34000015258789,21.450000000000006,90.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE,0.0,0.0,N21E090
NEG_20150524_0257,2015-05-24,23.750000000000004,92.9499969482422,NER_BACKGROUND,21.714998245239254,23.750000000000004,92.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,878.0,29.63943629033122,N23E092
NEG_20100729_0079,2010-07-29,27.55,90.05000305175781,NER_BACKGROUND,4.21999979019165,27.55,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2355.0,35.2101656085033,N27E090
NEG_20131006_0226,2013-10-06,23.65000000000001,96.75,NER_BACKGROUND,0.0249999985098838,23.65000000000001,96.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE,229.0,2.7410634035342527,N23E096
NEG_20150923_0319,2015-09-23,26.450000000000006,90.1500015258789,NER_BACKGROUND,10.835000991821287,26.450000000000006,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,48.0,1.0346531706931774,N26E090
NEG_20150801_0286,2015-08-01,28.15000000000001,91.5500030517578,NER_BACKGROUND,7.144999980926514,28.15000000000001,91.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5694.0,19.351142207169172,N28E091
NEG_20100603_0061,2010-06-03,22.250000000000004,90.1500015258789,NER_BACKGROUND,17.25999641418457,22.250000000000004,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,6.0,1.3636616268613924,N22E090
9142,2016-06-14 00:00:00,26.3185,94.5247,Nagaland,6.754999160766602,26.35000000000001,94.5500030517578,1,RECORDED_LANDSLIDE,1167.0,1.387753790258008,N26E094
NEG_20090826_0043,2009-08-26,24.450000000000006,91.9499969482422,NER_BACKGROUND,24.470001220703125,24.450000000000006,91.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,26.0,6.31627898109129,N24E091
NEG_20090830_0045,2009-08-30,25.750000000000004,93.3499984741211,NER_BACKGROUND,15.799997329711914,25.750000000000004,93.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE,237.0,5.211314549796946,N25E093
NEG_20101009_0119,2010-10-09,27.35000000000001,92.6500015258789,NER_BACKGROUND,0.0,27.35000000000001,92.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2195.0,33.991253051718154,N27E092
3662,2011-06-28 00:00:00,25.03561729,94.0144205,Manipur,4.164999961853027,25.05,94.0500030517578,1,RECORDED_LANDSLIDE,866.0,27.282090548675146,N25E094
7409,2015-08-02 00:00:00,25.72,94.6219,Nagaland,8.475000381469727,25.750000000000004,94.6500015258789,1,RECORDED_LANDSLIDE,1717.0,46.91495762766459,N25E094
3663,2011-06-28 00:00:00,25.6682,94.1099,Nāgāland,6.800000190734863,25.65000000000001,94.1500015258789,1,RECORDED_LANDSLIDE,1435.0,12.471496205387888,N25E094
2205,2010-08-06 00:00:00,23.7365,92.7146,Mizoram,0.6449999213218689,23.750000000000004,92.75,1,RECORDED_LANDSLIDE,1024.0,35.93984192404095,N23E092
2253,2010-08-15 00:00:00,25.31006064,94.48265093,Manipur,21.369997024536133,25.35000000000001,94.4499969482422,1,RECORDED_LANDSLIDE,1535.0,30.18256697884878,N25E094
9338,2016-05-18 00:00:00,24.4638,92.4943,Assam,43.470001220703125,24.450000000000006,92.4499969482422,1,RECORDED_LANDSLIDE,97.0,12.933283004058028,N24E092
NEG_20100913_0101,2010-09-13,21.85000000000001,92.75,NER_BACKGROUND,18.23500061035156,21.85000000000001,92.75,0,BACKGROUND_NO_RECORDED_LANDSLIDE,214.0,7.942395466555503,N21E092
NEG_20120610_0165,2012-06-10,21.750000000000004,92.9499969482422,NER_BACKGROUND,2.119999885559082,21.750000000000004,92.9499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,81.0,11.485000492791265,N21E092
NEG_20100421_0055,2010-04-21,24.450000000000006,96.3499984741211,NER_BACKGROUND,0.0900000035762786,24.450000000000006,96.3499984741211,0,BACKGROUND_NO_RECORDED_LANDSLIDE,537.0,17.078131676396396,N24E096
4858,2013-05-11 00:00:00,26.1662,91.7138,Assam,23.36999893188477,26.15000000000001,91.75,1,RECORDED_LANDSLIDE,143.0,21.63720584577714,N26E091
NEG_20100706_0070,2010-07-06,21.950000000000006,89.05000305175781,NER_BACKGROUND,1.8599998950958248,21.950000000000006,89.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2.0,1.3621030375752272,N21E089
7267,2015-07-22 00:00:00,25.3908,94.0926,Manipur,8.40999984741211,25.35000000000001,94.0500030517578,1,RECORDED_LANDSLIDE,1315.0,14.54418447986959,N25E094
2164,2010-07-29 00:00:00,25.3098633,94.48214677,Manipur,22.295000076293945,25.35000000000001,94.4499969482422,1,RECORDED_LANDSLIDE,1559.0,29.263043895532036,N25E094
NEG_20150811_0294,2015-08-11,23.950000000000006,90.1500015258789,NER_BACKGROUND,1.8349997997283936,23.950000000000006,90.1500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,8.0,2.9558268940164387,N23E090
NEG_20150822_0306,2015-08-22,25.750000000000004,96.5500030517578,NER_BACKGROUND,5.439999580383301,25.750000000000004,96.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,310.0,33.718213616134996,N25E096
NEG_20150819_0301,2015-08-19,22.65000000000001,90.05000305175781,NER_BACKGROUND,16.104999542236328,22.65000000000001,90.05000305175781,0,BACKGROUND_NO_RECORDED_LANDSLIDE,4.0,2.9524724366472617,N22E090
8996,2016-07-14 00:00:00,26.1768,91.7702,Assam,10.789999961853027,26.15000000000001,91.75,1,RECORDED_LANDSLIDE,83.0,30.11204693140904,N26E091
NEG_20120919_0177,2012-09-19,29.15000000000001,92.4499969482422,NER_BACKGROUND,0.3549999892711639,29.15000000000001,92.4499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,4115.0,22.523996652657946,N29E092
3741,2011-07-07 00:00:00,25.4191,94.1079,Nāgāland,0.0,25.450000000000006,94.1500015258789,1,RECORDED_LANDSLIDE,1398.0,10.209837985587427,N25E094
2043,2010-07-06 00:00:00,26.7225,95.0281,Nāgāland,1.4900000095367432,26.750000000000004,95.0500030517578,1,RECORDED_LANDSLIDE,699.0,8.28618530638979,N26E095
8012,2015-09-06 00:00:00,25.9703,91.8584,Meghalaya,0.3999999761581421,25.950000000000006,91.8499984741211,1,RECORDED_LANDSLIDE,289.0,11.565823006032677,N25E091
NEG_20150801_0289,2015-08-01,28.35000000000001,94.4499969482422,NER_BACKGROUND,11.30500030517578,28.35000000000001,94.4499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2111.0,30.80104761661057,N28E094
2576,2010-10-09 00:00:00,25.4788,94.1399,Nāgāland,0.0649999976158142,25.450000000000006,94.1500015258789,1,RECORDED_LANDSLIDE,1646.0,14.637633427177526,N25E094
NEG_20090820_0040,2009-08-20,27.450000000000006,96.5500030517578,NER_BACKGROUND,16.229999542236328,27.450000000000006,96.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,982.0,15.213437124189387,N27E096
NEG_20150616_0261,2015-06-16,23.450000000000006,89.94999694824219,NER_BACKGROUND,20.029998779296875,23.450000000000006,89.94999694824219,0,BACKGROUND_NO_RECORDED_LANDSLIDE,6.0,1.009751701869392,N23E089
NEG_20110531_0129,2011-05-31,27.85000000000001,96.5500030517578,NER_BACKGROUND,16.494998931884766,27.85000000000001,96.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,2147.0,43.07356251240445,N27E096
6285,2014-09-22 00:00:00,26.159,91.8178,Assam,161.239990234375,26.15000000000001,91.8499984741211,1,RECORDED_LANDSLIDE,63.0,6.774041654801501,N26E091
NEG_20100721_0076,2010-07-21,23.750000000000004,90.4499969482422,NER_BACKGROUND,5.22499942779541,23.750000000000004,90.4499969482422,0,BACKGROUND_NO_RECORDED_LANDSLIDE,7.0,3.1714513878895687,N23E090
NEG_20081029_0038,2008-10-29,28.250000000000004,91.5500030517578,NER_BACKGROUND,5.355000019073486,28.250000000000004,91.5500030517578,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5067.0,11.970678582997046,N28E091
NEG_20150826_0307,2015-08-26,29.85000000000001,89.6500015258789,NER_BACKGROUND,0.9699999690055848,29.85000000000001,89.6500015258789,0,BACKGROUND_NO_RECORDED_LANDSLIDE,5432.0,2.974865398600087,N29E089
2166,2010-07-29 00:00:00,24.9786,93.5027,Assam,19.49999618530273,24.950000000000006,93.5500030517578,1,RECORDED_LANDSLIDE,1315.0,18.801212904229484,N24E093
